Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,43.30938908,44.86504938,46.25965216,48.09271078,50.86759762,53.72374154,55.77724352,58.73361311,62.42676735,64.53419342,66.63767692,69.10609556,73.66222522,75.27547244,76.0489907,73.9007401,77.18681319,79.52618996,81.76661264,85.90604027,88.90006033,93.48546909,97.47174871,99.13250922,97.9264214,101.8550475,102.027027,100,102.3351086,104.925816,103.4676482,101.6528926,103.9535727,109.7425449,106.5569862,
Africa Eastern and Southern,AFE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.31944307,45.01877021,50.09303031,55.55956927,59.55972008,72.97718861,74.50700121,72.89511344,75.67579254,88.23293919,94.67549354,99.24148949,99.8041337,102.2469027,100,102.4036562,104.5247929,111.3413562,120.0501064,
Africa Western and Central,AFW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.29E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,5.00E-08,4.55E-08,4.99E-08,5.10E-08,5.93E-08,6.77E-08,1.40E-07,8.05E-07,8.19E-06,0.000186402,0.00358917,0.175888394,0.343779182,0.479088428,3.150011749,16.31765909,33.67183637,100,193.9265669,258.7825821,368.4397585,431.5006739,450.0915879,537.2553056,447.1998176,588.9092839,776.0297608,832.3526975,856.0268425,886.5306169,855.369318,1041.618918,1277.211623,1636.964189,1951.003912,2302.901967,3325.032294
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,2.709732104,2.651755435,2.651285568,2.65084134,2.650089555,2.659397262,2.59511164,2.595103697,2.595088682,2.59518416,2.583989344,3.501673702,11.66003623,26.31096669,35.7414684,39.30512966,54.30870662,60.41281217,64.47911392,65.83501296,69.55302653,72.20359317,74.8372021,78.72771531,81.20950334,83.89495394,85.97402936,89.74546017,93.44035744,95.70005929,100,102.3147438,103.3815946,103.6801048,105.2870604,105.8808703,105.2110114,106.7376891,108.3099973,109.6710098,110.4151125,116.9569974
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,4.33139499,4.671230654,5.069129711,5.669792883,6.573852771,7.677063294,8.943000069,11.03415005,13.31061012,15.56432124,17.64290737,19.82201341,22.51430862,25.18996202,27.92678448,30.32722112,33.62646348,35.62528732,37.74004891,40.34268086,43.29828395,46.30108418,49.40824297,51.65000965,53.65395685,56.30077149,56.7495887,58.01406051,58.88401258,60.49271175,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.5565075,108.7904232
Arab World,ARB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,27.95144203,31.24253743,32.884569,31.68062826,33.91443587,37.14172546,39.76188253,40.28390385,38.82642528,36.45899673,36.7289876,36.10515114,37.43583711,38.32720151,38.99841682,40.2993652,40.62613209,41.36017566,41.88877372,41.77882619,43.41132537,45.91748024,45.48020775,43.54527718,47.2219693,52.63338777,51.39686756,53.33496097,55.50697754,60.22585997,70.17897044,78.57388365,88.42230333,104.809921,88.89665179,100,113.1672194,115.7004183,114.6973907,113.5218969,95.99191902,92.92668682,98.03310702,106.0782305,101.3640746,92.88663488,
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.19E-11,8.65E-11,1.11E-10,1.40E-10,1.80E-10,2.19E-10,2.74E-10,3.54E-10,3.91E-10,4.21E-10,4.48E-10,5.88E-10,9.66E-10,1.60E-09,2.09E-09,6.22E-09,3.35E-08,8.69E-08,2.27E-07,5.62E-07,1.10E-06,2.26E-06,6.65E-06,3.19E-05,0.00022708,0.001606471,0.002848149,0.006480676,0.031188016,0.981203426,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.562778,2084.433257,3145.857912,4400.778931,6780.401738
