,region,time,iso,gdp_percapita_mean,gdp_percapita_std
0,AFG.10_1,1992,AFG,,
1,AFG.10_1,1993,AFG,,
2,AFG.10_1,1994,AFG,,
3,AFG.10_1,1995,AFG,,
4,AFG.10_1,1996,AFG,,
5,AFG.10_1,1997,AFG,,
6,AFG.10_1,1998,AFG,,
7,AFG.10_1,1999,AFG,,
8,AFG.10_1,2000,AFG,,
9,AFG.10_1,2001,AFG,,
10,AFG.10_1,2002,AFG,165.30060859591006,106.12754402291459
11,AFG.10_1,2003,AFG,165.69907311436828,103.62525622794351
12,AFG.10_1,2004,AFG,189.8420789563887,124.32308984385872
13,AFG.10_1,2005,AFG,200.26352917036496,126.0161930426719
14,AFG.10_1,2006,AFG,209.40144167397588,126.07208072740077
15,AFG.10_1,2007,AFG,281.3270793488054,169.02688061318702
16,AFG.10_1,2008,AFG,291.2616508443204,182.50028448571192
17,AFG.10_1,2009,AFG,349.8708501131175,249.6616796403497
18,AFG.10_1,2010,AFG,422.7528153999631,276.064842060408
19,AFG.10_1,2011,AFG,449.69493822918406,288.86364555608407
20,AFG.10_1,2012,AFG,475.81106528700593,295.9809546506347
21,AFG.10_1,2013,AFG,456.41390708131865,293.1360195884975
22,AFG.11_1,1992,AFG,,
23,AFG.11_1,1993,AFG,,
24,AFG.11_1,1994,AFG,,
25,AFG.11_1,1995,AFG,,
26,AFG.11_1,1996,AFG,,
27,AFG.11_1,1997,AFG,,
28,AFG.11_1,1998,AFG,,
29,AFG.11_1,1999,AFG,,
30,AFG.11_1,2000,AFG,,
31,AFG.11_1,2001,AFG,,
32,AFG.11_1,2002,AFG,165.72357066366058,105.4306315719032
33,AFG.11_1,2003,AFG,170.01437616454592,114.25132237410254
34,AFG.11_1,2004,AFG,185.42614911641135,131.11326270264388
35,AFG.11_1,2005,AFG,208.55522505287814,128.4916969055988
36,AFG.11_1,2006,AFG,222.21068129153943,139.57687395444782
37,AFG.11_1,2007,AFG,288.1178419965828,194.02547231460673
38,AFG.11_1,2008,AFG,278.8992320668211,185.60079872335072
39,AFG.11_1,2009,AFG,337.87083546176075,207.2466345851001
40,AFG.11_1,2010,AFG,420.06343076090457,262.1642321175333
41,AFG.11_1,2011,AFG,435.46592468757314,267.44583017787505
42,AFG.11_1,2012,AFG,479.94910561194627,326.07131427499553
43,AFG.11_1,2013,AFG,448.47629493019775,276.2903657349918
44,AFG.12_1,1992,AFG,,
45,AFG.12_1,1993,AFG,,
46,AFG.12_1,1994,AFG,,
47,AFG.12_1,1995,AFG,,
48,AFG.12_1,1996,AFG,,
49,AFG.12_1,1997,AFG,,
50,AFG.12_1,1998,AFG,,
51,AFG.12_1,1999,AFG,,
52,AFG.12_1,2000,AFG,,
53,AFG.12_1,2001,AFG,,
54,AFG.12_1,2002,AFG,160.12744516353717,101.89794991733018
55,AFG.12_1,2003,AFG,173.2837251355864,112.23218263546566
56,AFG.12_1,2004,AFG,184.08229324903144,122.55922447245958
57,AFG.12_1,2005,AFG,212.2258313929998,132.2022201887797
58,AFG.12_1,2006,AFG,219.5018209984891,141.89956605410595
59,AFG.12_1,2007,AFG,281.2097648872698,181.10255015929403
60,AFG.12_1,2008,AFG,288.4025408443084,181.6332422992466
61,AFG.12_1,2009,AFG,331.17910280717035,221.07224439946714
62,AFG.12_1,2010,AFG,419.4638576878621,259.4493515990456
63,AFG.12_1,2011,AFG,462.92456479003476,298.91228320907345
64,AFG.12_1,2012,AFG,481.7542369473731,316.59993311113766
65,AFG.12_1,2013,AFG,458.084285714105,285.8187644090523
66,AFG.13_1,1992,AFG,,
67,AFG.13_1,1993,AFG,,
68,AFG.13_1,1994,AFG,,
69,AFG.13_1,1995,AFG,,
70,AFG.13_1,1996,AFG,,
71,AFG.13_1,1997,AFG,,
72,AFG.13_1,1998,AFG,,
73,AFG.13_1,1999,AFG,,
74,AFG.13_1,2000,AFG,,
75,AFG.13_1,2001,AFG,,
76,AFG.13_1,2002,AFG,168.490581892042,108.2758184396493
77,AFG.13_1,2003,AFG,174.27848841794432,112.52765318589478
78,AFG.13_1,2004,AFG,189.25341546740074,119.32947297462832
