"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5"
"1",1,0.00590659285563671,-0.0175711924435193,-0.0348721826601098,-0.0211400946496628,0.0199617802452563,-0.0251658343225229
"2",2,0.00556748623641657,-0.0107769550229425,-0.0310903922471487,-0.0395371844987207,0.00917694571291515,-0.0147073693302576
"3",3,0.00349262805705884,-0.0124129055734304,-0.0214811098113748,-0.0242670972072098,0.0153540214391326,-0.0134430355239016
"4",4,0.00727485050800326,-0.00649818225890865,-0.0238530792294484,-0.0331661873593437,0.021066569357761,-0.00392558786687029
"5",5,0.00771154848031369,-0.0133055345585917,-0.0187838845265391,-0.0150671625101789,0.0252716548229054,-0.0210815070353773
"6",6,0.00407955149100396,-0.00591213504922164,-0.0208085283412077,-0.0265478824863604,0.0242070277025478,-0.0308025293605747
"7",7,0.000172124771328516,-0.00558570742023184,-0.0278409827301996,-0.0170731101158884,0.00714719254944495,-0.0222600713617131
"8",8,0.00119645772027059,-0.00654708776423369,-0.0248462909205821,-0.0178283792416031,0.0255282014367088,-0.0214127996988347
"9",9,0.00483196150536384,-0.00882193192973475,-0.0278733583185302,-0.0310029395672296,0.00619907497393461,-0.0246129480582187
"10",10,0.0122985881355044,-0.00562253825274956,-0.0184361999173832,-0.0342470403333803,0.0169316564575336,-0.0125166432555616
"11",11,0.0080765766367493,-0.0109797148541232,-0.0221137499013939,-0.0175380881084254,0.00731511756087539,-0.0178168404333604
"12",12,0.0036727935186138,-0.0122588591415406,-0.0246083579481964,-0.0258560221598945,0.0205619865998129,-0.0288370270463276
"13",13,0.0100251041853826,-0.0104138572419491,-0.0287381096157783,-0.0392095234608498,0.0133391308766409,-0.00760484861690834
"14",14,0.00387596702544385,-0.00875746150153496,-0.0308774588855294,-0.0285071913598965,0.0154866264464962,-0.00746754253513112
"15",15,0.0120500354996556,-0.00160708535242995,-0.0252365759067105,-0.047652629621728,0.0155824044810101,-0.00563608241160724
"16",16,0.0100771179560602,0.00011597984194445,-0.0213994595609382,-0.0359898891849079,0.00328644695865602,-0.0122090836634571
"17",17,0.00417016768531913,-0.0132838628964302,-0.0294171801960591,-0.0188718508829411,0.00292831805447408,-0.0271133392526999
"18",18,0.00979021820073383,-0.0212534806599559,-0.03196989343077,-0.0289196383916228,0.0153730137017055,-0.0185287162098291
"19",19,0.00317033872797601,-0.0114413528836653,-0.0190156248637744,-0.0285804966219895,0.0184081285355797,-0.0216703268027908
"20",20,4.29729525545455e-05,-0.00285893952802296,-0.037683705457384,-0.0357819521965677,0.0264554993850949,-0.0209784346230462
"21",21,0.0131241580991892,-0.00867041928548947,-0.024835912119532,-0.029012371572915,0.0120836189904534,-0.0091660932996867
"22",22,0.00900830288967594,-0.0116706852706129,-0.0193142664934198,-0.0319950631403294,0.0141099672917817,-0.0189247367250159
"23",23,0.00390700493773217,-0.0100615102387205,-0.0307628944144647,-0.0307492791258086,0.0235529018822241,-0.0176748178225986
"24",24,0.0080603375363384,-0.0114602142011156,-0.0359048736404191,-0.0301337334923956,0.0158858541644568,-0.0119805875239891
"25",25,0.00542841678093742,-0.00535636495427442,-0.0281181953781036,-0.0311849550635829,0.0135901800452554,-0.0148210320990376
"26",26,0.0021553732088908,-0.00318941014504529,-0.0269310354746825,-0.0317082084330462,0.0104937441018411,-0.0146199717439174
"27",27,0.00505088786738574,-0.00453715272037861,-0.0257703540752915,-0.0345056810943341,0.00968414041086841,-0.015712807215694
"28",28,0.00110399112542055,-0.00990900261421089,-0.0292258199549872,-0.031099511935654,0.0140697122103817,-0.0238765315693366
"29",29,0.00882655593192354,-0.00613465939097741,-0.0244129205975374,-0.0340029252253145,0.00676047803405583,-0.0206425854006323
"30",30,0.0057152423355005,-0.0155010844948485,-0.0284695636371426,-0.0385896104365845,0.0172159485808743,-0.0210339222839214
"31",31,0.00432470472333046,-0.00325670342596574,-0.0235779744102013,-0.0326054118782739,0.0136095090750253,-0.0209503416442638
"32",32,0.00131719149868862,-0.00146402049948354,-0.0250567763201571,-0.0340610350756622,0.0144190923054646,-0.0094625731530335
"33",33,0.0063763176779364,-0.00402889907313752,-0.019110118339055,-0.0354474386496898,0.0115149559462593,-0.00850889694111194
"34",34,3.25021493367432e-05,-0.004645759588082,-0.0214585408680128,-0.0305276416436694,0.0194137713276406,-0.0304909954403692
"35",35,0.00944556677639979,-0.00930184828564256,-0.0286541695836936,-0.0245055950137043,0.0207275069326313,-0.0215971520141249
"36",36,0.00852131197207261,-0.00354518605515748,-0.027378296255779,-0.0438983878435445,-0.000681247634609984,-0.00415879852873907
"37",37,0.0122354638602676,-0.000908782303197314,-0.0288799705633551,-0.0299702391983755,0.00711337414351576,-0.0157728366422291
"38",38,0.00382258851825859,-0.0111558189689815,-0.03222407031381,-0.0334511754792533,0.0202097470145559,-0.0252508955522499
"39",39,0.00363198776811412,-0.0148133257215791,-0.0290882900994964,-0.0198860672921292,0.011558064970338,-0.0293019528120651
"40",40,0.00197977892091732,-0.00796809744094818,-0.023588485448152,-0.0261096346779558,0.0154292822204507,-0.0173879425475934
"41",41,0.00450330577340058,-0.0155912887175062,-0.027664865565744,-0.0238671114757349,0.021054799566132,-0.0232565428202443
"42",42,0.00140380321074567,-0.01195654589168,-0.0353130388885345,-0.0352861736436849,0.0199043893283537,-0.0313534578779794
"43",43,0.00129216250114637,-0.0123040474496075,-0.0270524444907143,-0.0335977938248917,0.0142053574951842,-0.0178698124969988
"44",44,0.00671781201393688,-0.00751199302564888,-0.0351151086503976,-0.0269160705210091,0.0137747311525637,-0.0178370396919814
"45",45,0.00653311097066785,-0.00605205160812873,-0.0217940799095017,-0.034365143070059,0.0240183161124468,-0.0175270681305843
"46",46,0.0103861901109942,-0.00656141489980711,-0.0301111088061661,-0.0228539488612829,0.0102553363987084,-0.0200240006083213
