"","boot","coef_main","coef_interact","aic","adj_r2"
"1",1,0.00569709378766445,-0.000405319913646846,-9262.11433572901,0.198456113577397
"2",2,0.00830908296591702,-0.000567531751416781,-10992.2787565558,0.180044923258518
"3",3,0.00979343348761842,-0.000746419222857841,-17502.0647237229,0.195205201328177
"4",4,0.00999264964291091,-0.000796567842765298,-13125.3374090531,0.189563463485239
"5",5,0.00818385758442971,-0.000545508165822783,-9420.43851416062,0.179241160501467
"6",6,0.00918559332118992,-0.00064553245074714,-12434.5536162679,0.16740161948339
"7",7,0.0107003240070782,-0.000834759109334352,-12687.3369482133,0.183478888368143
"8",8,0.00603827597290308,-0.000493828599768332,-11959.7468046542,0.17561122075947
"9",9,0.00808584733438452,-0.000536108835228628,-17863.9191718478,0.197502760481355
"10",10,0.00677815336973623,-0.000348373948101693,-16345.9272033598,0.174832702815482
"11",11,0.00771151882355294,-0.00055059275725792,-15728.8886046908,0.18442339192578
"12",12,0.00631160612679562,-0.000459794304832531,-16949.5417553356,0.206411714834102
"13",13,0.00951922107977242,-0.00065271223397938,-8153.54050422162,0.153246056479499
"14",14,0.0101993501911362,-0.000697336436126722,-11654.85511676,0.179016678774675
"15",15,0.00738205600995708,-0.000448971024401635,-18918.3173082038,0.202647575381585
"16",16,0.00984193315885126,-0.000848866868223233,-10714.2602076643,0.185993533970792
"17",17,0.00749205862175639,-0.000567415869426095,-12718.9559774612,0.185575012141166
"18",18,0.0063408766775115,-0.00042758739838111,-18038.5754676133,0.222091670819719
"19",19,0.00868322413758424,-0.000626969232104349,-10129.8365208687,0.158661811403185
"20",20,0.00946226952377064,-0.000725303009512629,-11040.7211996121,0.177021674865448
"21",21,0.00866950850204174,-0.000773283682662239,-8331.92389547432,0.15010710489897
"22",22,0.00993298419201452,-0.000776148381750186,-12169.3615839326,0.182500230049306
"23",23,0.0105407998362315,-0.000665972063629888,-7396.58149542167,0.158426811106006
"24",24,0.00938176306163851,-0.000692641154702543,-13974.8730276044,0.186470924919172
"25",25,0.0107948154355497,-0.000778974210051837,-9257.43812981494,0.154904932259461
"26",26,0.0079008741339225,-0.000590306057603272,-13938.4088000118,0.183790858169227
"27",27,0.0100084339263472,-0.000763131533046897,-14014.7038304484,0.17586215612006
"28",28,0.0118586556467844,-0.000909095650541582,-18882.8011745119,0.211307393386537
"29",29,0.00665068047537163,-0.000406915883479718,-17269.7547675952,0.197107883223994
"30",30,0.00835798282198493,-0.000601655343465963,-10052.7789649387,0.154667956682607
"31",31,0.00743915951573211,-0.000556568369833427,-18415.4465276575,0.195119005279692
"32",32,0.011104400844234,-0.00077334540466888,-20831.4935356328,0.224167223017969
"33",33,0.00948407357599096,-0.000564046056773697,-18483.9869538144,0.197915511685853
"34",34,0.00728771630431593,-0.000496673204536854,-14679.979717377,0.230598473732607
"35",35,0.00880025431820687,-0.000716926940342074,-12380.5257078492,0.172380587095497
"36",36,0.00617517165292812,-0.000336248833406085,-14347.6848282398,0.166241029163355
"37",37,0.00706944223202695,-0.000553119890233539,-13220.7291638522,0.166343724657397
"38",38,0.0117778863138278,-0.000913103444361766,-7541.75307135857,0.155086141607454
"39",39,0.00877020233492365,-0.000560704655320861,-14815.5997971006,0.205374259169525
"40",40,0.00871577224837706,-0.00070090210253468,-12108.309315836,0.179593005045809
"41",41,0.00889413980988644,-0.000614780312818371,-12242.2474904976,0.176266107333086
"42",42,0.0095412276548282,-0.000749628894925569,-12404.1709071346,0.168053963301925
"43",43,0.00703417350078924,-0.000455209468864338,-14872.8963821206,0.179475771948634
"44",44,0.0119241948746333,-0.000922725200060224,-18483.6573013861,0.199120695487295
"45",45,0.0097236929405826,-0.000874989872739312,-12273.9101826215,0.169751996266054
"46",46,0.0081346812041766,-0.000442983679721138,-13221.0447536234,0.186221065583475
"47",47,0.00739318486781715,-0.000545375325279797,-15126.8723011564,0.179029247982668
"48",48,0.0112072120339995,-0.000884177491908618,-11753.3916196509,0.16390848532705
"49",49,0.0101608934152987,-0.000819425389149943,-10741.3531324233,0.158178634166071
"50",50,0.00763574300102392,-0.000502781841632716,-10071.7977982921,0.14506893440977
"51",51,0.00812962430233918,-0.00059141832853275,-5577.51918232609,0.162191387997124
"52",52,0.00843095791519943,-0.000590419424494814,-14193.0751834905,0.185826412914953
"53",53,0.00941590700220798,-0.000619607640417114,-19163.4236904855,0.201134929137939
"54",54,0.00896521811372552,-0.000589661652144878,-12264.2410362185,0.167245590423851
"55",55,0.0111662373313552,-0.000870038348427443,-13438.5098367959,0.184542065277943
"56",56,0.00747283612289415,-0.000425949307329043,-13008.9945816848,0.180431041891099
"57",57,0.0089645109624136,-0.000555441148443084,-11984.4099358773,0.185591556040158
"58",58,0.00853365974620222,-0.000516582447251811,-18629.4930946918,0.201931666538069
"59",59,0.00604683156381831,-0.00047610577420991,-17421.6821281357,0.22285784935323
